step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
512,CASH_IN,144709.94,C0770122191,2136827.01,2281536.95,C7236260076,17000.68,0.0,0,0
39,CASH_IN,138058.14,C2424840375,1509028.35,1647086.49,C2568698033,632471.69,494413.55,0,0
208,CASH_OUT,107951.15,C1846980900,131364.8,27449.94,C4111544851,458812.63,566763.78,0,0
283,PAYMENT,16344.4,C8355603160,145576.18,129231.78,M9207009878,0.0,0.0,0,0
656,CASH_OUT,42772.39,C0724574278,42772.39,0.0,C4058941589,2664687.73,2707460.12,1,0
45,PAYMENT,4305.8,C8403352443,61096.12,56790.32,M7283018826,0.0,0.0,0,0
714,CASH_OUT,17257.58,C8415010271,374035.48,356777.9,C9853783503,0.0,17257.58,0,0
442,CASH_OUT,1133452.9,C3565276748,1133452.9,0.0,C3822557283,2061592.92,3195045.82,1,0
151,TRANSFER,3844153.51,C5329510897,3844153.51,0.0,C1017780199,0.0,0.0,1,0
537,CASH_OUT,153491.12,C2708878543,0.0,0.0,C1644673941,1641341.39,1794832.51,0,0
50,PAYMENT,4963.16,C0857536671,158048.63,153085.47,M6769506711,0.0,0.0,0,0
207,PAYMENT,3080.52,C3035120788,118691.25,115610.73,M9523748807,0.0,0.0,0,0
249,PAYMENT,7291.25,C0311399359,21150.03,13858.78,M2230883878,0.0,0.0,0,0
593,CASH_OUT,37651.34,C1410999865,0.0,0.0,C7864106679,867734.51,905385.85,0,0
489,CASH_OUT,82500.23,C9768464812,418320.37,335820.14,C0029592313,1897169.89,1979670.12,0,0
419,TRANSFER,719665.63,C0998265666,719665.63,0.0,C5650099517,0.0,0.0,1,0
597,CASH_OUT,167665.79,C5045382158,167665.79,0.0,C3094163925,1949034.37,2116700.16,1,0
404,TRANSFER,2679514.21,C9022248086,2679514.21,0.0,C6617256633,0.0,0.0,1,0
342,CASH_OUT,436124.96,C6306567483,436124.96,0.0,C5162688911,0.0,436124.96,1,0
684,CASH_IN,305576.48,C3064832124,1408298.09,1713874.57,C8768768182,3196614.04,2891037.56,0,0
691,CASH_OUT,279547.3,C9448654774,307099.4,27552.1,C0760338985,849856.76,1129404.06,0,0
367,PAYMENT,44335.49,C5899389932,186364.86,142029.37,M9514753302,0.0,0.0,0,0
437,CASH_OUT,186015.97,C4566514246,186015.97,0.0,C2283177879,908598.54,1094614.51,1,0
427,TRANSFER,700734.84,C0618091428,0.0,0.0,C0499234551,1883624.03,2584358.87,0,0
674,CASH_IN,511138.05,C3145838607,1635456.79,2146594.84,C5365423443,1753441.24,1242303.19,0,0
432,PAYMENT,59898.89,C0368582105,57062.4,0.0,M7732761245,0.0,0.0,0,0
52,TRANSFER,2345159.93,C8481188509,2345159.93,0.0,C3988665037,0.0,0.0,1,0
600,CASH_IN,128147.8,C3231568902,873846.33,1001994.13,C8108923559,42493.15,0.0,0,0
681,PAYMENT,1624.8,C8644127873,78691.41,77066.61,M1588072150,0.0,0.0,0,0
251,CASH_OUT,104267.49,C0527059038,382406.0,278138.51,C4712717490,2185836.14,2290103.63,0,0
422,CASH_IN,103167.35,C8985656554,3216883.83,3320051.18,C6615300595,2363705.65,2260538.3,0,0
333,CASH_IN,206103.69,C2728102763,2270088.77,2476192.46,C5512514171,2232265.14,2026161.45,0,0
564,CASH_OUT,64926.82,C6755943587,64926.82,0.0,C0472988055,0.0,64926.82,1,0
465,PAYMENT,41833.3,C6045612263,146205.97,104372.67,M7191002826,0.0,0.0,0,0
355,CASH_OUT,169228.15,C5752419726,169228.15,0.0,C6608999970,0.0,169228.15,1,0
347,CASH_IN,354490.39,C5428763696,946645.28,1301135.67,C5360173454,858746.93,504256.54,0,0
654,CASH_OUT,245273.41,C2077363243,379018.11,250481.01,C8941704946,357538.14,602811.55,0,0
391,PAYMENT,20761.37,C6529207684,4052.23,0.0,M4291821214,0.0,0.0,0,0
99,PAYMENT,878.45,C1353345324,188273.38,187394.93,M0317111895,0.0,0.0,0,0
458,PAYMENT,1843.01,C3942865413,186248.67,184405.66,M3149436629,0.0,0.0,0,0
295,CASH_OUT,34577.59,C5815516143,427196.4,392618.81,C1277950811,1789880.45,1824458.04,0,0
500,CASH_IN,48913.43,C5552957896,1651270.28,1700183.71,C7370926019,778687.88,729774.45,0,0
492,CASH_IN,206814.23,C2135709689,2718410.37,2925224.6,C1114975136,41331.81,0.0,0,0
122,CASH_OUT,58362.85,C6991751295,141732.78,83369.93,C9124162129,2467607.52,2525970.37,0,0
167,PAYMENT,6350.75,C7168270761,48258.69,41907.94,M0409591266,0.0,0.0,0,0
585,CASH_IN,345428.9,C8504861289,343279.39,688708.29,C6865422700,2710462.42,2365033.52,0,0
250,PAYMENT,6574.32,C0223847465,141788.9,135214.58,M2792053423,0.0,0.0,0,0
295,CASH_IN,52481.24,C1341328806,1322960.36,1375441.6,C4730323219,2471345.04,2418863.8,0,0
228,PAYMENT,5917.75,C1832967443,195080.86,189163.11,M7143669722,0.0,0.0,0,0
655,CASH_OUT,206533.77,C6684461182,298889.67,92355.9,C1218330494,2208299.7,2414833.47,0,0
395,PAYMENT,16129.18,C9570809630,121761.56,105632.38,M6722221263,0.0,0.0,0,0
578,CASH_IN,83773.61,C4475793819,2975918.35,3059691.96,C3914902033,901904.82,818131.21,0,0
169,CASH_OUT,45746.83,C1772606537,468852.72,423105.89,C6623756044,2036318.51,2082065.34,0,0
469,CASH_OUT,281492.74,C9383740161,0.0,0.0,C6679142950,2178038.19,2459530.93,0,0
418,CASH_IN,111578.41,C0030351490,2894528.05,3006106.46,C0460707182,2886.16,0.0,0,0
142,PAYMENT,26263.78,C3143008079,62420.55,36156.77,M7919910706,0.0,0.0,0,0
56,CASH_IN,46555.1,C1296617594,140635.5,187190.6,C6187360056,900657.41,854102.31,0,0
692,PAYMENT,8742.95,C9097181152,39005.89,30262.94,M6025462673,0.0,0.0,0,0
420,PAYMENT,13507.88,C1573989765,83340.82,69832.94,M9002021906,0.0,0.0,0,0
264,CASH_IN,123863.25,C8723608203,959859.37,1083722.62,C5807261178,2370115.87,2246252.62,0,0
260,CASH_OUT,49971.6,C4211530510,0.0,0.0,C1237368957,388762.29,438733.89,0,0
678,PAYMENT,23846.35,C6834195542,97795.1,73948.75,M6028018325,0.0,0.0,0,0
123,CASH_OUT,53752.66,C6048302419,53752.66,0.0,C7393199351,2127150.73,2180903.39,1,0
476,CASH_IN,109728.62,C1391664002,329804.53,439533.15,C1186061400,1516808.71,1407080.09,0,0
539,CASH_OUT,3090078.94,C5240937948,471254.63,0.0,C4428907309,1818875.75,4908954.69,0,0
53,CASH_OUT,74526.16,C5576424017,42778.82,0.0,C3094771856,1249181.5,1323707.66,0,0
430,TRANSFER,1820737.15,C2426002431,1820737.15,0.0,C3355882951,0.0,0.0,1,0
256,CASH_IN,8729.56,C6546871587,1374485.2,1383214.76,C8051800324,1247111.19,1238381.63,0,0
419,PAYMENT,2992.35,C6831325851,66063.58,63071.23,M3563631340,0.0,0.0,0,0
659,CASH_OUT,265359.41,C3574606954,0.0,0.0,C1849655256,2836362.51,3101721.92,0,0
649,PAYMENT,27702.83,C1296027898,22034.01,0.0,M0064680584,0.0,0.0,0,0
390,TRANSFER,167747.25,C4532857176,0.0,0.0,C5550426246,6315615.02,6483362.27,0,0
214,CASH_OUT,19368.96,C8261431356,0.0,0.0,C0751599427,1019917.51,1039286.47,0,0
63,CASH_OUT,6553.3,C3271008318,6553.3,0.0,C1306672398,1699764.57,1706317.87,1,0
124,CASH_OUT,98760.92,C9291900072,98760.92,0.0,C4473032770,938705.76,1037466.68,1,0
586,CASH_OUT,48673.96,C5475443564,0.0,0.0,C2524370895,2261701.58,2310375.54,0,0
585,PAYMENT,6022.46,C2985631582,151659.91,145637.45,M7334894953,0.0,0.0,0,0
8,PAYMENT,1691.85,C7448664259,141453.44,139761.59,M1929498796,0.0,0.0,0,0
599,CASH_OUT,98103.09,C7688153759,76764.15,0.0,C4944090040,2396204.21,2494307.3,0,0
127,CASH_OUT,200137.37,C2338755842,235476.07,35338.7,C9911284865,1581717.01,1781854.38,0,0
693,CASH_OUT,334273.15,C4564557650,486674.34,152401.19,C9780458231,955803.15,1290076.3,0,0
564,PAYMENT,8818.19,C1842771007,158404.65,149586.46,M6457398893,0.0,0.0,0,0
291,PAYMENT,13313.04,C2032840204,173891.42,160578.38,M9783924622,0.0,0.0,0,0
102,PAYMENT,2376.66,C7051226122,131209.52,128832.86,M3356089656,0.0,0.0,0,0
622,CASH_OUT,23225.82,C3562274184,23225.82,0.0,C6357826961,0.0,23225.82,1,0
146,TRANSFER,1021228.67,C4530580228,1021228.67,0.0,C5562701861,0.0,0.0,1,0
211,CASH_OUT,114721.56,C3224872929,158827.61,44106.05,C3518468502,0.0,114721.56,0,0
163,TRANSFER,63907.74,C2432319315,63907.74,0.0,C8386720397,0.0,0.0,1,0
683,TRANSFER,857346.57,C5800701947,857346.57,0.0,C4017053396,0.0,0.0,1,0
457,CASH_OUT,15145.81,C6075279422,15145.81,0.0,C5040047802,2068702.17,2083847.98,1,0
490,CASH_OUT,227005.82,C3848778179,227005.82,0.0,C9578888374,1451861.77,1678867.59,1,0
593,PAYMENT,1108.45,C1478778962,141923.9,140815.45,M1759294565,0.0,0.0,0,0
168,CASH_OUT,1026286.83,C2977462410,45068.49,0.0,C8228873528,1379675.88,2405962.71,0,0
69,CASH_IN,24987.63,C4222092119,1144218.09,1169205.72,C4032804785,1179453.17,1154465.54,0,0
486,PAYMENT,1535.28,C9466847344,15651.8,14116.52,M7871960482,0.0,0.0,0,0
689,CASH_OUT,33791.58,C1951936602,11645.53,0.0,C1516564764,95963.07,129754.65,0,0
377,CASH_OUT,266350.1,C1014676692,0.0,0.0,C7852074339,2073199.82,2339549.92,0,0
320,CASH_IN,162193.34,C1550573522,1147447.14,1309640.48,C8966644674,1645637.96,1483444.62,0,0
528,CASH_OUT,98381.7,C6774236865,0.0,0.0,C6376752025,1131892.14,1230273.84,0,0
317,PAYMENT,22227.22,C3814674004,5643.91,0.0,M8603295325,0.0,0.0,0,0
496,CASH_OUT,11442.54,C4821181596,476464.4,465021.86,C4843759478,0.0,11442.54,0,0
346,CASH_OUT,34099.1,C8942518645,0.0,0.0,C7304815141,2129376.73,2163475.83,0,0
377,PAYMENT,2361.78,C6485568150,173086.37,170724.59,M4235313459,0.0,0.0,0,0
405,PAYMENT,1386.94,C8813290235,107323.02,105936.08,M7801096575,0.0,0.0,0,0
450,PAYMENT,7145.35,C4432644703,37131.54,29986.19,M0813681283,0.0,0.0,0,0
161,CASH_OUT,82767.49,C1439697710,0.0,0.0,C6103335116,1067354.12,1150121.61,0,0
492,CASH_OUT,31076.71,C1016951957,101154.31,70077.6,C1616496305,740965.74,772042.45,0,0
329,CASH_OUT,342033.41,C1409498954,342033.41,0.0,C7083022060,0.0,342033.41,1,0
479,CASH_OUT,18629.87,C7984235510,18629.87,0.0,C4714126229,176859.59,195489.46,1,0
133,PAYMENT,6469.0,C8490378291,62975.7,56506.7,M4977294666,0.0,0.0,0,0
292,PAYMENT,47147.29,C5762581036,169366.76,122219.47,M3530884576,0.0,0.0,0,0
106,TRANSFER,405855.9,C6232330749,405855.9,0.0,C1615446838,0.0,0.0,1,0
94,CASH_OUT,48112.33,C3497771452,0.0,0.0,C1768981734,565715.88,613828.21,0,0
480,CASH_OUT,88713.95,C4501941332,0.0,0.0,C4589250610,347806.04,436519.99,0,0
326,CASH_IN,195891.22,C1232516365,1032640.49,1228531.71,C9564543396,2492003.59,2296112.37,0,0
77,CASH_IN,134038.55,C3368876537,937564.61,1071603.16,C8538935479,2793741.45,2659702.9,0,0
316,TRANSFER,228380.38,C9058457596,228380.38,0.0,C7760415153,0.0,0.0,1,0
22,PAYMENT,1728.45,C1763057003,94883.21,93154.76,M4200067404,0.0,0.0,0,0
248,CASH_OUT,384784.31,C4750049006,261891.18,0.0,C4583316027,1632635.14,2017419.45,0,0
22,PAYMENT,2083.5,C3922771536,197170.64,195087.14,M9668177186,0.0,0.0,0,0
715,PAYMENT,6913.38,C8109420479,167177.0,160263.62,M5929591086,0.0,0.0,0,0
135,CASH_OUT,419063.72,C8106079721,419063.72,0.0,C6054727623,0.0,419063.72,1,0
70,CASH_OUT,59785.35,C1301926413,76406.63,16621.28,C0587681954,0.0,59785.35,0,0
194,CASH_OUT,190854.3,C7051438845,0.0,0.0,C9814455742,0.0,190854.3,0,0
448,CASH_OUT,45878.2,C8211145086,45878.2,0.0,C0805459925,885248.48,931126.68,1,0
708,CASH_IN,136691.69,C3448570759,1674793.61,1811485.3,C1878028054,2998578.4,2861886.71,0,0
714,CASH_OUT,20777.99,C0167108919,497139.34,476361.35,C9102010755,1362265.49,1383043.48,0,0
598,PAYMENT,2127.75,C8427193370,25125.01,22997.26,M3513790605,0.0,0.0,0,0
579,CASH_IN,158871.42,C8464987087,2884836.31,3043707.73,C3950660828,205803.7,46932.28,0,0
410,CASH_IN,384805.38,C9169308408,246088.98,630894.36,C2090755881,436135.89,51330.51,0,0
400,PAYMENT,2298.61,C7974875485,13669.58,11370.97,M1665048268,0.0,0.0,0,0
703,CASH_OUT,669358.56,C7275968997,237666.73,0.0,C4174028145,1792085.36,2461443.92,0,0
541,CASH_OUT,85215.62,C1209573222,0.0,0.0,C4518715521,1977515.84,2062731.46,0,0
